Blender 4.0.2
Fra:1 Mem:89.60M (Peak 89.60M) | Time:00:00.03 | Syncing wheelbarrow
Fra:1 Mem:89.66M (Peak 89.66M) | Time:00:00.03 | Syncing camp__wheelbarrow
Fra:1 Mem:89.66M (Peak 89.66M) | Time:00:00.03 | Syncing ShelterPath
Fra:1 Mem:89.67M (Peak 89.67M) | Time:00:00.03 | Syncing building_home_A_green
Fra:1 Mem:93.83M (Peak 97.69M) | Time:00:00.05 | Syncing shelter__house_a
Fra:1 Mem:93.84M (Peak 97.69M) | Time:00:00.05 | Syncing building_home_A_red
Fra:1 Mem:97.99M (Peak 101.85M) | Time:00:00.07 | Syncing shelter__house_c
Fra:1 Mem:97.99M (Peak 101.85M) | Time:00:00.07 | Syncing AurelianVillageV4Sun
Fra:1 Mem:97.99M (Peak 101.85M) | Time:00:00.07 | Syncing VillageV4DesktopCamera
Fra:1 Mem:97.79M (Peak 101.85M) | Time:00:00.08 | Rendering 1 / 64 samples
Fra:1 Mem:95.89M (Peak 101.85M) | Time:00:08.84 | Rendering 26 / 64 samples
Fra:1 Mem:95.89M (Peak 101.85M) | Time:00:16.68 | Rendering 51 / 64 samples
Fra:1 Mem:95.89M (Peak 101.85M) | Time:00:20.75 | Rendering 64 / 64 samples
Saved: '/home/runner/work/_temp/pixel-nations-village-v4-reauthor/render/desktop/stage-02-shelter.png'
Time: 00:21.43 (Saving: 00:00.33)

Fra:1 Mem:97.24M (Peak 97.24M) | Time:00:00.03 | Syncing AurelianContinuousTerrain
Fra:1 Mem:98.72M (Peak 98.72M) | Time:00:00.03 | Syncing RiverWater
Fra:1 Mem:98.74M (Peak 98.74M) | Time:00:00.03 | Syncing RoadApproach
Fra:1 Mem:98.75M (Peak 98.75M) | Time:00:00.03 | Syncing building_bridge_A
Fra:1 Mem:98.83M (Peak 98.83M) | Time:00:00.03 | Syncing Role_bridge
Fra:1 Mem:98.84M (Peak 98.84M) | Time:00:00.03 | Syncing tree_single_A
Fra:1 Mem:98.85M (Peak 98.85M) | Time:00:00.03 | Syncing Role_tree_a
Fra:1 Mem:98.85M (Peak 98.85M) | Time:00:00.03 | Syncing tree_single_B
Fra:1 Mem:98.89M (Peak 98.89M) | Time:00:00.03 | Syncing Role_tree_b
Fra:1 Mem:98.89M (Peak 98.89M) | Time:00:00.03 | Syncing tree_single_A.001
Fra:1 Mem:98.90M (Peak 98.90M) | Time:00:00.03 | Syncing Role_tree_a.001
Fra:1 Mem:98.91M (Peak 98.91M) | Time:00:00.03 | Syncing tree_single_B.001
Fra:1 Mem:98.94M (Peak 98.94M) | Time:00:00.03 | Syncing Role_tree_b.001
Fra:1 Mem:98.95M (Peak 98.95M) | Time:00:00.03 | Syncing tree_single_A.002
